OPV_ID;OPV_LIBELLE;OPV_DEPENSE;OPV_RECETTE;OPV_BUD_ID;OPV_CAT_ID;OPV_OPERATION_ORIGINE;OPV_SOLDE;OPV_TYPE;OPV_PERIODE;OPV_LETTRAGE
1;FP COGI mars 93;0,000000;195,870000;248;80;6;195,870000;D;;
2;FP COGI Mars 93;0,000000;45,730000;223;80;6;45,730000;D;;
3;FP COGI Mars 93;0,000000;43,020000;218;80;6;43,020000;D;;
4;virement sur LCE (karen ski);45,730000;0,000000;248;92;8;-45,730000;D;;
5;;45,730000;0,000000;248;53;8;-45,730000;D;;
6;Tel karen sur 201.5;106,710000;0,000000;223;113;10;-106,710000;D;;
7;Repas la clusaz;30,490000;0,000000;183;58;10;-30,490000;D;;
8;FP karen 04/93;45,730000;0,000000;183;58;10;-45,730000;D;;
9;FP COGI 03/93;91,470000;0,000000;248;80;10;-91,470000;D;;
10;Vacances Canada;686,030000;0,000000;238;156;17;-686,030000;D;;
11;Vacances Canada;594,550000;0,000000;238;156;17;-594,550000;D;;
12;Avance de BPL sue CE;344,530000;0,000000;183;156;17;-344,530000;D;;
13;Impots sur revenu;60,980000;0,000000;211;156;17;-60,980000;D;;
14;Assurance golf;0,000000;172,210000;174;162;19;172,210000;D;;
15;Assurance polo;0,000000;59,910000;174;162;19;59,910000;D;;
16;Auto divers;0,000000;137,200000;215;162;19;137,200000;D;;
17;Entretien golf;33,340000;0,000000;178;156;19;-33,340000;D;;
18;vignette;0,000000;65,860000;177;162;19;65,860000;D;;
19;divers;0,000000;803,030000;248;162;19;803,030000;D;;
20;PEL;0,000000;228,670000;215;162;19;228,670000;D;;
21;impot locaux;0,000000;434,020000;210;162;19;434,020000;D;;
22;I.R;0,000000;1,070000;211;162;19;1,070000;D;;
23;redevance TV;0,000000;45,680000;212;162;19;45,680000;D;;
24;karen vacances hiver;0,130000;0,000000;248;156;19;-0,130000;D;;
25;charges;0,000000;70,890000;215;162;19;70,890000;D;;
26;maison divers;0,000000;783,680000;215;162;19;783,680000;D;;
27;eau;0,000000;183,330000;216;162;19;183,330000;D;;
28;électricité;0,000000;134,760000;217;162;19;134,760000;D;;
29;loyer;0,000000;98,690000;218;162;19;98,690000;D;;
30;téléphone;66,190000;0,000000;223;156;19;-66,190000;D;;
31;multirisque;0,000000;43,750000;174;162;19;43,750000;D;;
32;vacances canada;0,000000;127,170000;238;162;19;127,170000;D;;
33;Mutuelle;0,000000;63,620000;251;162;19;63,620000;D;;
34;Assurance Golf;0,000000;67,080000;174;129;25;67,080000;D;;
35;Assurance polo;0,000000;23,320000;174;129;25;23,320000;D;;
36;Multirisque;0,000000;8,230000;174;129;25;8,230000;D;;
37;Mutuelle;0,000000;22,870000;251;129;25;22,870000;D;;
38;Auto divers;0,000000;137,200000;215;129;25;137,200000;D;;
39;Entretien golf;0,000000;15,240000;178;129;25;15,240000;D;;
40;Vacances Canada (Impots);0,000000;381,120000;211;129;25;381,120000;D;;
41;Impots locaux;0,000000;48,020000;210;88;25;48,020000;D;;
42;Vignette;0,000000;6,560000;177;129;25;6,560000;D;;
43;Redevance TV;0,000000;7,620000;212;129;25;7,620000;D;;
44;Charges;0,000000;7,620000;215;129;25;7,620000;D;;
45;Loyer;0,000000;396,370000;218;129;25;396,370000;D;;
46;Eau;0,000000;19,820000;216;129;25;19,820000;D;;
47;Electricite;0,000000;30,490000;217;129;25;30,490000;D;;
48;Téléphone;0,000000;30,490000;223;129;25;30,490000;D;;
49;Virement compte courant;0,000000;612,020000;252;129;25;612,020000;D;;
50;P.E.L;0,000000;152,450000;215;129;25;152,450000;D;;
51;Assurance Golf;0,000000;67,080000;174;129;31;67,080000;D;;
52;Assurance polo;0,000000;23,320000;174;129;31;23,320000;D;;
53;Multirisque;0,000000;10,670000;174;129;31;10,670000;D;;
54;Mutuelle;0,000000;22,870000;251;129;31;22,870000;D;;
55;Entretien golf;0,000000;15,240000;178;129;31;15,240000;D;;
56;Impots;0,000000;381,120000;211;129;31;381,120000;D;;
57;Impots locaux;0,000000;53,360000;210;88;31;53,360000;D;;
58;Vignette;0,000000;6,560000;177;129;31;6,560000;D;;
59;Redevance TV;0,000000;7,620000;212;129;31;7,620000;D;;
60;Loyer;0,000000;712,700000;218;129;31;712,700000;D;;
61;Eau;0,000000;19,820000;216;129;31;19,820000;D;;
62;Electricite;0,000000;106,710000;217;129;31;106,710000;D;;
63;Téléphone;0,000000;30,490000;223;129;31;30,490000;D;;
64;Virement compte courant;0,000000;502,460000;252;129;31;502,460000;D;;
65;Entretien pommier;0,000000;6,860000;219;129;31;6,860000;D;;
66;Téléphone karen;0,000000;91,470000;223;113;35;91,470000;D;;
67;F.P;0,000000;21,110000;178;80;35;21,110000;D;;
68;F.P;0,000000;76,760000;178;80;35;76,760000;D;;
69;Vancances ski karen;0,000000;152,450000;248;92;35;152,450000;D;;
70;Participation karen / télé;0,000000;152,450000;248;92;35;152,450000;D;;
71;Assurance Golf;0,000000;67,080000;174;129;36;67,080000;D;;
72;Assurance polo;0,000000;23,320000;174;129;36;23,320000;D;;
73;Multirisque;0,000000;10,670000;174;129;36;10,670000;D;;
74;Mutuelle;0,000000;22,870000;251;129;36;22,870000;D;;
75;Entretien golf;0,000000;15,240000;178;129;36;15,240000;D;;
76;Impots;0,000000;381,120000;211;129;36;381,120000;D;;
77;Impots locaux;0,000000;53,360000;210;88;36;53,360000;D;;
78;Vignette;0,000000;7,930000;177;129;36;7,930000;D;;
79;Redevance TV;0,000000;7,620000;212;129;36;7,620000;D;;
80;Loyer;0,000000;712,700000;218;129;36;712,700000;D;;
81;Eau;0,000000;19,820000;216;129;36;19,820000;D;;
82;Electricite;0,000000;106,710000;217;129;36;106,710000;D;;
83;Téléphone;0,000000;30,490000;223;129;36;30,490000;D;;
84;Virement compte courant;0,000000;501,090000;252;129;36;501,090000;D;;
85;Entretien pommier;0,000000;6,860000;219;129;36;6,860000;D;;
86;Assurance Golf;0,000000;70,280000;174;129;41;70,280000;D;;
87;Assurance polo;0,000000;25,000000;174;129;41;25,000000;D;;
88;Multirisque;0,000000;10,670000;174;129;41;10,670000;D;;
89;Mutuelle;0,000000;22,870000;251;129;41;22,870000;D;;
90;Entretien golf;0,000000;15,240000;178;129;41;15,240000;D;;
91;Impots;0,000000;381,120000;211;129;41;381,120000;D;;
92;Impots locaux;0,000000;53,360000;210;88;41;53,360000;D;;
93;Vignette;0,000000;7,930000;177;129;41;7,930000;D;;
94;Redevance TV;0,000000;7,770000;212;129;41;7,770000;D;;
95;Loyer;0,000000;712,700000;218;129;41;712,700000;D;;
96;Eau;0,000000;19,820000;216;129;41;19,820000;D;;
97;Electricite;0,000000;106,710000;217;129;41;106,710000;D;;
98;Téléphone;0,000000;30,490000;223;129;41;30,490000;D;;
99;Virement compte courant;0,000000;495,700000;252;129;41;495,700000;D;;
100;Entretien pommier;0,000000;6,860000;219;129;41;6,860000;D;;
101;Mur;0,000000;1 533,880000;215;115;41;1 533,880000;D;;
102;Plombier;0,000000;89,010000;215;116;41;89,010000;D;;
103;Bois;0,000000;5,790000;215;116;41;5,790000;D;;
104;Assurance Golf;0,000000;70,280000;174;129;43;70,280000;D;;
105;Assurance polo;0,000000;25,000000;174;129;43;25,000000;D;;
106;Multirisque;0,000000;10,670000;174;129;43;10,670000;D;;
107;Mutuelle;0,000000;22,870000;251;129;43;22,870000;D;;
108;Entretien golf;0,000000;15,240000;178;129;43;15,240000;D;;
109;Impots;0,000000;381,120000;211;129;43;381,120000;D;;
110;Impots locaux;0,000000;53,360000;210;88;43;53,360000;D;;
111;Vignette;0,000000;7,930000;177;129;43;7,930000;D;;
112;Redevance TV;0,000000;7,770000;212;129;43;7,770000;D;;
113;Loyer;0,000000;712,700000;218;129;43;712,700000;D;;
114;Eau;0,000000;19,820000;216;129;43;19,820000;D;;
115;Electricite;0,000000;106,710000;217;129;43;106,710000;D;;
