TIE_ID;TIE_NOM;BUD_ID;CAT_ID;TIE_MOTCLE1;TIE_MOTCLE2;TIE_MOTCLE3;TIE_VENTILATION;TIE_TYM_ID;tIE_COMMENTAIRE;tIE_OPERATEUR1;tIE_OPERATEUR2;tIE_BUDGET;TIE_DESACTIVE;TIE_FORMULEAFFECTATION;TIE_FORMULEACTIVEE
1;CASINO;189;167;GEANT;CASINO;;0;2;;255;255;0;0;;0
3;NUMERICABLE;223;113;NUMERICABLE;;;0;2;;255;255;0;0;;0
4;U EXPRESS;189;2;;;;0;2;;255;255;0;0;"SI CONTIENT(OPERATION.OPE_LIBELLE,""U EXPRESS"")  ou CONTIENT(OPERATION.OPE_LIBELLE,""MAGASIN U"") ou contient (OPERATION.OPE_LIBELLE,""U ETAB PAIEMENT"") alors
RENVOYER 1
SINON
RENVOYER 0 
FIN";1
5;SALAIRE NTIC;0;0;;;;1;7;;255;255;1;0;;0
6;DYNEFF;186;14;DYNEFF;;;0;2;;255;255;0;0;;0
7;REGUL RAPPROCHEMENT;245;32;;;;0;4;;255;255;0;0;;0
8;ALHAMBRA;245;104;ALHAMBRA;;;0;2;;255;255;0;0;;0
9;EFFIA;245;20;EFFIA;;;0;2;;255;255;0;0;;0
10;BRICE;245;82;BRICE;;;0;2;;255;255;0;0;;0
11;JULES;245;4;JULES;;;0;2;;255;255;0;0;;0
12;PICQ;245;82;PICQ;;;0;2;;255;255;0;0;;0
13;KAREN MARKLAND (Virement Mois);244;0;VIR MME MARKLAND KAREN;;;1;4;"IR : 300 (09)
Impots locaux 150+150 (10 et 11)
Assurance : twingo assurance tout risque : 50 (30/06)
";255;255;1;0;;0
14;JASSERIE;189;2;JASSERIE;PAMPLEMOUSSE;;0;2;;255;255;0;0;;0
15;BARALE;189;1;BARALE;;;0;2;;255;255;0;0;;0
16;SFR;223;114;SFR;;;0;2;;255;255;0;0;;0
17;CAMION ROUGE;245;104;CAMION ROUGE;;;0;2;;255;255;0;0;;0
18;CPAM;235;29;CPAM LOIRE;;;0;3;;255;255;0;0;;0
19;CE (ABONNEMENT);192;75;COTISATION BOUQUET LIBERTE;;;0;2;;255;255;0;0;"SI CONTIENT(OPERATION.OPE_LIBELLE,""COTISATION BOUQUET LIBERTE"")  alors
RENVOYER 1
SINON
RENVOYER 0 
FIN";1
20;ESSO;176;14;ESSO;;;0;2;;255;255;0;0;;0
21;SEPASTETIENNESBS;245;20;SEPASTETIENNESBS;;;0;2;;255;255;0;0;;0
22;LEROY MERLIN;224;116;LEROY;LMFR;;0;0;;255;255;0;0;"SI CONTIENT(OPERATION.OPE_LIBELLE,""LMFR"") ou CONTIENT(OPERATION.OPE_LIBELLE,""LEROY"") alors
RENVOYER 1
SINON
RENVOYER 0 
FIN";1
23;COMPLETUDE;205;165;;;;0;2;;255;255;0;0;;0
24;TORRILHON;189;1;TORRILHON;CB SALAISON TORRI;TORRILH;0;2;;255;255;0;0;"SI CONTIENT(OPERATION.OPE_LIBELLE,""SALAISON"") alors
RENVOYER 1
SINON
RENVOYER 0 
FIN";1
25;RETRAIT;245;6;RETRAIT DAB;;;0;2;;255;255;0;0;;0
26;SAINT MICHEL;207;166;SAINT MICHEL;;;0;2;;255;255;0;0;;0
27;FREE ;223;114;PRLV FREE MOBILE;FREE MOBILE;;0;2;;255;255;0;0;;0
28;IKEA;225;121;IKEA;;;0;2;;255;255;0;0;;0
29;PHARMACIE;189;139;PHARMACIE;;;0;2;;255;255;0;0;;0
30;GDF;220;112;ENGIE;;;0;2;;255;255;0;0;;0
31;EDF;217;110;EDF;;;0;2;;255;255;0;0;;0
32;IMPOT IR;211;89;REGLEMENT IMPOT IRPS;;;0;2;"2015 ---> 1441,50 Cours CLARA --> déduction : 720,75
2016 --->  570 --> 285 déduction";255;255;0;0;;0
33;URSULES;245;20;PARK URSULES;;;0;2;;255;255;0;0;;0
34;BRICO DEPOT;224;116;BRICO DEPOT;;;0;2;;255;255;0;0;;0
35;MARELIE;245;140;MARELIE;;;0;0;Coiffeur Christian;255;255;0;0;;0
36;NTIC CONSEIL FRAIS;186;42;;;;0;3;;255;255;0;0;;0
37;PARKING SAINT  ETIENNE;245;20;SEPASTETIENNE;SEPA JUSTICE;;0;2;;255;255;0;0;;0
38;SATORIZ;189;3;;;;0;2;;255;255;0;0;;0
39;STEPHANOISE DES EAUX;216;109;PRLV Stephanoise des Eaux;Stephanoise des Eaux-SOC ST;STEPHANOISE;0;2;;255;255;0;0;"SI CONTIENT(OPERATION.OPE_LIBELLE,""STEPHANOISE"") ou CONTIENT(OPERATION.OPE_LIBELLE,""SAUR"") alors
RENVOYER 1
SINON
RENVOYER 0 
FIN";1
40;VOX OFFICE;202;60;;;;0;2;;255;255;0;0;;0
41;MUCCI;233;132;;;;0;0;;0;0;0;0;;0
42;VIVENS;235;28;VIVENS;;;0;0;;255;255;0;0;;0
43;BPL TENUE COMPTE;249;74;FRAIS DE TENUE DE COMPTE;;;0;2;;255;255;0;0;;0
44;SEDEMAF;189;1;SEDEMAF;;;0;2;;255;255;0;0;;0
46;SPOTIFY;204;71;SPOTIFY;;;0;2;;255;255;0;0;;0
47;MATMUT;174;8;MATMUT;;;0;2;;255;255;0;0;;0
48;FOIRFOUILLE;204;61;FOIR FOUILL;FOIRE'FOUILL;;0;2;;255;255;0;0;;0
49;LA HALLE;245;82;LA HALLE;;;0;2;;255;255;0;0;;0
50;CARREFOUR MARKET;189;4;MARKET;CARREFOUR;;0;2;;255;255;0;0;;0
51;VATEL;261;170;VATEL;;;0;2;;255;255;0;0;;0
52;DARD JEAN LUC;245;100;;;;0;2;;255;255;0;0;;0
53;PARKING JUSTICE;245;20;SEPA JUSTICE;CB STATIONNEMENT;;0;2;;255;255;0;0;;0
54;AB MP;245;98;AB MP;;;0;2;La CACHETTE;255;255;0;0;;0
55;LE FIRENZE;186;37;;;;0;2;Restaurant CCLD;255;255;0;0;;0
56;ADREMA;186;37;ADREMA;;;0;2;POIVRE ROUGE;255;255;0;0;;0
57;PHARMACIE D'ARMEVILLE;189;139;ARMEVILL;;;0;2;Bergson;255;255;0;0;;0
58;PEPY;232;132;;;;0;2;;255;255;0;0;;0
59;PICARD;189;3;;;;0;2;;255;255;0;0;;0
60;SAINTE MARIE;260;172;SAINTE MARIE;;;0;2;;255;255;0;0;;0
61;GREEN PIZZA;189;102;GREEN PIZZA;;;0;2;;255;255;0;0;;0
62;ROCLE;178;19;ROCLE;;;0;2;;255;255;0;0;;0
63;VACANCES ETE;238;150;;;;0;2;;255;255;0;0;;0
65;BRYSSE;189;5;BRYSSE;;;0;2;;255;255;0;0;;0
66;Emprunt clara;262;174;;;;0;0;;255;255;0;0;;0
68;BAYLE;189;1;BAYLE;;;0;2;BOUCHERIE;255;255;0;0;;0
69;TCL;204;73;TCL;;;0;2;;255;255;0;0;;0
70;LAFOND;270;135;;;;0;0;;255;255;0;0;;0
71;ODALYS;263;178;LOYER CLARA;;;0;0;;255;255;0;0;;0
72;RIVEL;189;1;RIVEL;;;0;2;Poissonnerie marché;255;255;0;0;;0
73;NICOLE LIGUORI;272;131;;;;0;2;;255;255;0;0;;0
74;TEST;0;0;;;;1;0;;255;255;0;0;;0
77;FERNANDEZ;251;132;FERNANDEZ;;;0;2;DENTISTE CHRISTIAN;255;255;0;0;;0
79;ASSURANCE PRET CLARA;262;174;;;;0;0;;255;255;0;0;;0
80;PEL CS (Virement mensuel);243;58;VIR SEPA Monsieur CHRISTIAN;;;0;4;Virement mensuel du compte courant vers PEL CS;255;255;0;0;;0
81;NTIC AVANCE;186;42;;;;0;2;;255;255;0;0;;0
