N° Enr.;;BUD_ID;BUD_LIBELLE;BUD_ANCIEN_CODE;BUD_COMMENTAIRE;CAR_ID;BUD_SYNTHESE;BUD_SOLDEFACTURE;BUD_DESACTIVE;BUD_TB;BUD_SOLDE;TYM_ID
148;C:\Users\netcompil.PCSOFT\AppData\Local\Temp\Build_489698\RepLocalGdsTemp\SMP12440-16-5_1.png;174;Assurance;Assurance;;0;1;0;0;42;280,680000;0
147;C:\Users\netcompil.PCSOFT\AppData\Local\Temp\Build_489698\RepLocalGdsTemp\SMP12440-16-5_1.png;175;Auto;Auto;commentaire auto;3;1;0;1;42;0,000000;0
146;C:\Users\netcompil.PCSOFT\AppData\Local\Temp\Build_489698\RepLocalGdsTemp\SMP12440-16-5_1.png;176;Auto - Carburant;Auto - Carburant;;3;1;0;0;42;645,860000;0
145;C:\Users\netcompil.PCSOFT\AppData\Local\Temp\Build_489698\RepLocalGdsTemp\SMP12440-16-5_1.png;177;Auto - Divers **;Auto - Divers;Ssa dd;3;1;0;0;42;0,000000;0
144;C:\Users\netcompil.PCSOFT\AppData\Local\Temp\Build_489698\RepLocalGdsTemp\SMP12440-16-5_1.png;178;Auto - Entretien;Auto - Entretien;;3;1;0;0;42;447,920000;0
143;C:\Users\netcompil.PCSOFT\AppData\Local\Temp\Build_489698\RepLocalGdsTemp\SMP12440-16-5_1.png;179;Avance - indivision;Avance - indivision;commentaire indivision;8;1;0;1;42;0,000000;0
142;C:\Users\netcompil.PCSOFT\AppData\Local\Temp\Build_489698\RepLocalGdsTemp\SMP12440-16-5_1.png;180;Avance - IUT ;Avance - IUT;;8;1;0;1;42;0,000000;0
141;C:\Users\netcompil.PCSOFT\AppData\Local\Temp\Build_489698\RepLocalGdsTemp\SMP12440-16-5_1.png;181;Avance - Karen;Avance - Karen;;8;1;0;0;42;15,900000;0
140;C:\Users\netcompil.PCSOFT\AppData\Local\Temp\Build_489698\RepLocalGdsTemp\SMP12440-16-5_1.png;182;Avance - Laurent;Avance - Laurent;;8;1;0;0;42;0,000000;0
139;C:\Users\netcompil.PCSOFT\AppData\Local\Temp\Build_489698\RepLocalGdsTemp\SMP12440-16-5_1.png;183;Avance - Parents;Avance - Parents;;8;1;0;1;42;0,000000;0
138;C:\Users\netcompil.PCSOFT\AppData\Local\Temp\Build_489698\RepLocalGdsTemp\SMP12440-16-5_1.png;184;Avance - Richard **;Avance - Richard;;8;1;0;0;42;0,000000;0
137;C:\Users\netcompil.PCSOFT\AppData\Local\Temp\Build_489698\RepLocalGdsTemp\SMP12440-16-5_1.png;185;Avance LAURENT ET RICHARD;Avance LAURENT ET RICHARD;;8;1;0;0;42;0,000000;0
136;C:\Users\netcompil.PCSOFT\AppData\Local\Temp\Build_489698\RepLocalGdsTemp\SMP12440-16-5_1.png;186;Avance NTIC (Frais);Avance NTIC (Frais);;8;1;0;1;42;0,000000;0
135;C:\Users\netcompil.PCSOFT\AppData\Local\Temp\Build_489698\RepLocalGdsTemp\SMP12440-16-5_1.png;187;Cadeaux - Enfants;Cadeaux - Enfants;;11;1;0;0;42;0,000000;0
134;C:\Users\netcompil.PCSOFT\AppData\Local\Temp\Build_489698\RepLocalGdsTemp\SMP12440-16-5_1.png;188;Compte Attente;Compte Attente;;0;1;0;0;42;0,000000;0
133;C:\Users\netcompil.PCSOFT\AppData\Local\Temp\Build_489698\RepLocalGdsTemp\SMP12440-16-5_1.png;189;Courses;Courses;;0;1;0;0;42;1 082,830000;0
132;C:\Users\netcompil.PCSOFT\AppData\Local\Temp\Build_489698\RepLocalGdsTemp\SMP12440-16-5_1.png;190;Différence;Différence;;0;0;0;0;42;0,860000;0
131;C:\Users\netcompil.PCSOFT\AppData\Local\Temp\Build_489698\RepLocalGdsTemp\SMP12440-16-5_1.png;191;Divers - A ventiler;Divers - A ventiler;;7;1;0;0;42;4 350,300000;0
130;C:\Users\netcompil.PCSOFT\AppData\Local\Temp\Build_489698\RepLocalGdsTemp\SMP12440-16-5_1.png;192;Divers - abonnement bancaires *;Divers - abonnement CE;;7;1;0;0;42;135,540000;0
129;C:\Users\netcompil.PCSOFT\AppData\Local\Temp\Build_489698\RepLocalGdsTemp\SMP12440-16-5_1.png;193;Divers - cadeau CS;Divers - cadeau CS;;7;1;0;0;42;269,870000;0
128;C:\Users\netcompil.PCSOFT\AppData\Local\Temp\Build_489698\RepLocalGdsTemp\SMP12440-16-5_1.png;194;Divers - CNAM;Divers - CNAM;;7;1;0;1;42;0,000000;0
127;C:\Users\netcompil.PCSOFT\AppData\Local\Temp\Build_489698\RepLocalGdsTemp\SMP12440-16-5_1.png;195;Divers - dons;Divers - dons;;7;1;0;0;42;0,000000;0
126;C:\Users\netcompil.PCSOFT\AppData\Local\Temp\Build_489698\RepLocalGdsTemp\SMP12440-16-5_1.png;196;Divers - Economies PEL;Divers - Economies PEL;;7;1;0;1;16;45,730000;0
125;C:\Users\netcompil.PCSOFT\AppData\Local\Temp\Build_489698\RepLocalGdsTemp\SMP12440-16-5_1.png;197;Divers - GROS ACHATS A SOLDER;Divers - GROS ACHATS A SOLDER;;0;1;0;0;42;0,000000;0
124;C:\Users\netcompil.PCSOFT\AppData\Local\Temp\Build_489698\RepLocalGdsTemp\SMP12440-16-5_1.png;198;Divers - informatique;Divers - informatique;;0;1;0;1;42;0,000000;0
123;C:\Users\netcompil.PCSOFT\AppData\Local\Temp\Build_489698\RepLocalGdsTemp\SMP12440-16-5_1.png;199;Divers - Interets;Divers - Interets;;0;1;0;0;42;0,000000;0
122;C:\Users\netcompil.PCSOFT\AppData\Local\Temp\Build_489698\RepLocalGdsTemp\SMP12440-16-5_1.png;200;Divers - Virement Compte à Compte;Divers - Virement Compte à Compte;;0;0;0;0;42;-0,010000;4
121;C:\Users\netcompil.PCSOFT\AppData\Local\Temp\Build_489698\RepLocalGdsTemp\SMP12440-16-5_1.png;201;ECONOMIES;ECONOMIES;;0;0;0;0;16;10 155,000000;0
120;C:\Users\netcompil.PCSOFT\AppData\Local\Temp\Build_489698\RepLocalGdsTemp\SMP12440-16-5_1.png;202;Enfants : Activités;Enfants - Activités;;11;1;0;1;0;0,000000;0
119;C:\Users\netcompil.PCSOFT\AppData\Local\Temp\Build_489698\RepLocalGdsTemp\SMP12440-16-5_1.png;203;Enfants : CLARA;Enfants - CLARA;;11;1;0;1;42;0,000000;0
118;C:\Users\netcompil.PCSOFT\AppData\Local\Temp\Build_489698\RepLocalGdsTemp\SMP12440-16-5_1.png;204;Enfants : courant;Enfants : courant;;11;1;0;0;42;126,140000;0
117;C:\Users\netcompil.PCSOFT\AppData\Local\Temp\Build_489698\RepLocalGdsTemp\SMP12440-16-5_1.png;205;Enfants : Cours particuliers;Enfants - Cours particuliers;;11;0;0;1;42;0,000000;0
116;C:\Users\netcompil.PCSOFT\AppData\Local\Temp\Build_489698\RepLocalGdsTemp\SMP12440-16-5_1.png;206;Enfants : EMMA;Enfants - EMMA;;11;1;0;0;42;0,000000;0
115;C:\Users\netcompil.PCSOFT\AppData\Local\Temp\Build_489698\RepLocalGdsTemp\SMP12440-16-5_1.png;207;Enfants - SAINT MICHEL;Enfants - SAINT MICHEL;;11;1;0;1;42;0,000000;0
114;C:\Users\netcompil.PCSOFT\AppData\Local\Temp\Build_489698\RepLocalGdsTemp\SMP12440-16-5_1.png;208;Enfants - VOYAGES SCOLAIRES;Enfants - SAINT MICHEL - VOYAGE;;11;1;0;1;42;0,000000;0
113;C:\Users\netcompil.PCSOFT\AppData\Local\Temp\Build_489698\RepLocalGdsTemp\SMP12440-16-5_1.png;209;Etat - Impots foncier;Etat - Impots foncier;;13;1;0;0;42;550,350000;0
112;C:\Users\netcompil.PCSOFT\AppData\Local\Temp\Build_489698\RepLocalGdsTemp\SMP12440-16-5_1.png;210;Etat - Impots locaux;Etat - Impots locaux;;13;1;0;0;42;17,390000;0
